job_title,company,location,preferred_qualifications,minimum_qualifications,url,source
"Data Scientist, Product Analytics",Meta,Meta,"['Experience in collaborating with individuals and organizations', 'Experience working with large scale dataset', 'Internship experience in solving analytical problems using quantitative approaches']","[""Currently has or is pursuing a Bachelor's and/or Master’s degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta."", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', 'Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment', ""Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.""]",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4187594996,LinkedIn
Data Scientist,Google,"['Sunnyvale, CA, USA', 'Boulder, CO, USA', 'Kirkland, WA, USA', 'New York, NY, USA', 'San Francisco, CA, USA', 'Waterloo, ON, Canada', 'Los Angeles, CA, USA', 'Seattle, WA, USA']","[""Master's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field"", '12 years of experience solving product or business problems, performing statistical analysis, and coding (e.g., Python, R, SQL)', 'Experience in extracting large sets of data with SQL and in designing ETL flows', 'Experience working with Developers and Product Managers, especially around providing product-centric insights', 'Track record of solving unstructured business problems with data science, translating results into impactful business recommendations, and measuring the success of those initiatives']","[""Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field"", ""13 years of work experience using analytics to solve product or business problems, performing statistical analysis, and coding (e.g., Python, R, SQL) (or 10 years work experience and a Master's degree)""]",https://www.linkedin.com/jobs/view/data-scientist-gmail-and-chat-ai-model-quality-at-google-4165758376,LinkedIn
Data Scientist,Akkodis,"SFO, CA (Remote)","['4+ years of experience in data science, data engineering, and full-stack data development.', 'Experience handling large-scale datasets and working on data pipelines, reporting, and project-based work.', 'Data visualization experience (Tableau, Data Bricks, Superset; No Power BI or Looker).', 'Ability to work with financial data and conduct competitive analysis.', 'Strong analytical mindset with the ability to navigate ambiguous problems and translate data into business insights.']",['Strong SQL and Python proficiency.'],https://www.linkedin.com/jobs/view/data-scientist-at-akkodis-4177147428,LinkedIn
Marketing Data Scientist,Ginger Labs,"San Francisco, CA","['4+ years of experience in Marketing Data Science, Growth Analytics, or Marketing Analytics with a strong focus on mobile app analytics', 'Strong knowledge of marketing analytics tools', 'Deep understanding of marketing metrics', 'Experience designing and analyzing A/B tests to guide marketing and product decisions', 'Strong data storytelling skills – ability to translate complex analyses into actionable insights for non-technical stakeholders']","['4+ years of experience in Marketing Data Science, Growth Analytics, or Marketing Analytics with a strong focus on mobile app analytics', 'Strong knowledge of marketing analytics tools', 'Deep understanding of marketing metrics', 'Experience designing and analyzing A/B tests to guide marketing and product decisions', 'Strong data storytelling skills – ability to translate complex analyses into actionable insights for non-technical stakeholders', 'Proactive, self-starter attitude with strong organizational skills, attention to detail, and ability to juggle multiple priorities in a less structured environment']",https://www.linkedin.com/jobs/view/data-scientist-at-ginger-labs-4181180886,LinkedIn
Machine Learning Engineer,Aura Intelligence,Not specified,"['Strong proficiency in Python and production-grade software development', 'Solid understanding of GPU acceleration, resource optimization, and scalable ML inference pipelines', 'Strong SQL skills and experience with data warehouses', 'Familiarity with AWS (particularly S3) and broader cloud computing concepts', 'Experience setting up observability (metrics, logging, and alerting) for ML systems', 'Proficiency with CI/CD practices and testing frameworks (pytest for unit, integration, and model evaluation testing)', 'Knowledge of version control (Git) and best practices in documentation', 'Excellent problem-solving skills with a proven ability to debug complex production issues', 'Strong communication skills to effectively collaborate with both technical and non-technical team members', 'Experience with containerization (e.g., Docker) and orchestration platforms (e.g., Kubernetes)', 'Familiarity with serverless compute platforms (e.g., Modal) and workflow orchestration tools (e.g., Dagster)', 'Knowledge of additional classification models (e.g., XGBoost, FastText) and broader data engineering concepts', 'Understanding of data versioning, experiment tracking, and model registry practices', 'Experience with observability platforms (e.g., Datadog) and data warehouses like Snowflake']","['2+ years in machine learning engineering with a strong focus on production deployment', 'Proven experience deploying and optimizing transformer-based models (e.g., RoBERTa, BERT) in a production environment']",https://www.linkedin.com/jobs/view/machine-learning-engineer-mlops-team-at-aura-intelligence-4148118141,LinkedIn
Machine Learning Engineer (MLOPS),NobleAI,NobleAI,"['MSc Degree in Computer Science or a related field', '3+ years of experience in building and deploying ML systems', '3+ years of experience working with Python and MLOps tools, including Docker, Kubernetes, KubeFlow, TensorFlow, PyTorch, Sagemaker, MLFlow', '2+ years of cloud experience (AWS or Azure ML Platforms)', '3+ years of experience in Software Engineering practices such as version control, testing, DevOps (build pipelines, CI/CD), and Python package management']",['Understanding of machine learning algorithms and techniques'],https://www.linkedin.com/jobs/view/machine-learning-engineer-at-nobleai-4167885324,LinkedIn
Spring Intern - Data Science,C3 AI,C3 AI,"['Experience with scalable ML (MapReduce, Spark)', 'Experience in Generative AI, e.g., Large Language Models (LLMs), embedding models, prompt engineering, and fine-tuning', 'Experience with reinforcement learning', 'A portfolio of projects (GitHub, papers, etc.)']","['Pursuing or completed MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields', 'Applied Machine Learning experience (regression and classification, supervised, self-supervised, and unsupervised learning)', 'Strong mathematical background (linear algebra, calculus, probability, and statistics)', 'Proficiency in Python and objected-oriented programming, e.g. JavaScript', 'Familiarity with key Python packages for data wrangling, machine learning, and deep learning such as pandas, sklearn, tensorflow, torch, langchain, etc', 'Ability to drive a project and work both independently and in a cross-functional team', 'Smart, motivated, can-do attitude, and seeks to make a difference in a fast-paced environment', 'Excellent verbal and written communication']",https://www.linkedin.com/jobs/view/data-scientist-intern-spring-2025-at-c3-ai-4119970158,LinkedIn
Associate Data Scientist,"Williams-Sonoma, Inc.",San Francisco,"['Experienced programming and scripting with Python', 'Knowledge and understanding of BI visualization tools (e.g., Domo, Tableau, PowerBI, Looker)', 'Exposure with machine learning, marketing mix modeling (Bayesian), Markov Chain Monte Carlo (MCMC) algorithms, Deep Learning Neural Networks, Long Short Term Memory (LSTM), Prophet/NeuralProphet, Regression, A/B testing, and other related methodologies a huge plus']","['BA/BS or higher degree in Computer Science, Math, Physics, Engineering, Statistics, Biostatistics, Economics, Analytics, Applied Mathematics, Physical Sciences, or a related quantitative field', '0 - 2+ years of experience in an analytical role or equivalent academic coursework in data modeling, analytics, market research, or other data-centric field', 'Proficiency in SQL (1+ years) and Excel']",https://www.linkedin.com/jobs/view/associate-data-scientist-at-williams-sonoma-inc-4167373530,LinkedIn
AI Engineer,Artisan,Artisan,"['Experience with tools like Langsmith and Langchain for managing and optimizing LLM pipelines.', 'Proficiency with cloud platforms (AWS or Azure) and containerization technologies (e.g., Docker).']","['2+ years of professional experience in ML/AI engineering, with expertise in LLM fine-tuning and deployment.', 'Strong programming skills, particularly in Python, and experience with MLOps tools like MLflow.', 'Solid understanding of distributed systems and software engineering best practices.']",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-artisan-4122691570,LinkedIn
Data Scientist - Machine Learning,Atomic AI,South San Francisco,"['History of scientific achievement, e.g. as evidenced by publication of impactful papers.', 'Conceptual understanding of ML model development and evaluation, and experience using ML models.', 'Experience with computational structural biology tools for modeling RNA secondary and tertiary structure (e.g. Rosetta, AlphaFold, RNAfold).', 'Understanding of RNA-SM interactions, including familiarity with structural properties of binding sites and experimental methods for evaluating binding.', 'Proficiency with pipelines for next-generation sequencing dataset processing.', 'Exposure to high throughput experimental assays for evaluating RNA structure and screening RNA-SM interactions.']","['Ph.D. in Computational Biology, Bioinformatics, Statistics, Biophysics, or related field, or equivalent experience.', 'Expertise in RNA biology and biochemistry, RNA-protein interactions, and RNA structure.', 'Proficiency in Python for data curation and analysis at scale, and fluency with libraries for data analysis (NumPy, pandas) and applied ML (scikit-learn).', 'Strong programming background, familiarity with Unix and comfort with using external software packages.', 'Strong foundation in statistics and experience with conducting statistical analysis of large-scale datasets.', 'Excellent presentation and writing skills, able to clearly communicate technical information to colleagues.']",https://www.linkedin.com/jobs/view/data-scientist-rna-biology-at-atomic-ai-4172521155,LinkedIn
Data Scientist,Artisan,Artisan,"['MS or PhD in Statistics, Computer Science, Mathematics, or related quantitative field preferred', 'Excellent communication skills with ability to explain complex concepts to technical and non-technical stakeholders']","['3+ years of professional experience in data science, with a focus on NLP, recommendation systems, or behavioral modeling', 'Strong statistical background with experience in experimental design, causal inference, and predictive modeling', 'Proficiency in Python and SQL, with experience using data science libraries (NumPy, Pandas, scikit-learn, PyTorch/TensorFlow)', 'Experience with large language models, embeddings, and vector databases', 'Familiarity with feature engineering techniques for machine learning models', 'Knowledge of data visualization tools (Tableau, Power BI, or similar)', 'Experience working with large, complex datasets and distributed computing frameworks', 'Track record of translating data insights into business impact']",https://www.linkedin.com/jobs/view/data-scientist-at-artisan-4185045120,LinkedIn
Data Scientist - Climate Operations,Google,"San Francisco, CA, USA; Sunnyvale, CA, USA","['5 years of work experience with analysis applications and coding (Python, R, SQL)', '4 years of experience as a data scientist, including applying advanced analytics to planning and infrastructure problems', 'Experience in energy and climate domain, or greenhouse gas accounting']","[""Master's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, a related quantitative field, or equivalent practical experience"", '3 years of experience with statistical data analysis, data mining, and querying (e.g., SQL)', '1 year of experience managing analytical projects']",https://www.linkedin.com/jobs/view/data-scientist-iii-product-operations-data-science-at-google-4185769931,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '2+ years of work experience in analytics and data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', '2+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120825485,LinkedIn
"Data Scientist, Product Analytics",Lensa,"San Francisco, CA","['Experience in collaborating with individuals and organizations', 'Experience working with large scale dataset', 'Internship experience in solving analytical problems using quantitative approaches']","[""Currently has or is pursuing a Bachelor's and/or Master’s degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta."", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', 'Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment', ""Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.""]",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-lensa-4188681637,LinkedIn
Energy Systems Data Scientist,Pattern Energy,San Francisco,"['Preferred familiarity with cloud platforms and large dataset tools (e.g., Azure, Databricks, etc.)', 'Ability to work with large datasets, ensuring data integrity and reliability.', 'Strong problem-solving skills for complex energy scenarios.', 'Clear and concise reporting of findings to stakeholders.', 'Ability to explain technical concepts to non-technical audiences.', 'Manage deadlines, coordinate with teams, and handle multiple modeling tasks.']","['Bachelor’s and/or master’s in electrical engineering, economics, mathematics, or a related quantitative field (data science or data engineering emphasis desired).', '3-5 years of experience in energy trading, renewables development or energy industry forecasting/analytics/research.', 'Familiarity with capacity expansion, production cost models, or energy-related software.', 'Ability to work with datasets specific to energy systems, such as grid network models, load profiles, and pricing data. Strong knowledge of data wrangling and cleaning techniques, especially for time series, spatial, and network data.', 'Excellent programming skills in common languages (e.g., Python) and packages used by energy modeling field (e.g., geopandas, numpy, networkx, pandas), use of software best practices (e.g., Git), and familiarity with high performance computing environments.', 'Experience with extracting, transforming, and loading processes and tools for handling large-scale datasets. Demonstrated ability to develop and deploy Feature Engineering and Modeling applications to data platforms built on Databricks or similar platforms and platform components (e.g., Snowflake, ML Flow, Airflow, etc.)', 'Demonstrated experience in using Azure-based cloud applications, services and infrastructure or significant, transferrable experience with other Cloud Providers (e.g., AWS or GCP)', 'Comfortable creating data visualizations and deploying them on a company-wide level.', 'Implementation of storing system-level logs and responding to pipeline failures (including code errors, API statuses, data structure failures, and machine-based failures).']",https://www.linkedin.com/jobs/view/energy-systems-data-scientist-at-pattern-energy-4146405905,LinkedIn
Machine Learning Engineer,Russell Tobin,Remote,"['MS/PhD in relevant fields preferred', 'Proficiency in Python and SQL', 'Experience with TensorFlow, PyTorch, AWS, Spark, Airflow, Kafka, MLflow', 'Hands-on experience with Large Language Models (LLMs)', 'Familiarity with large-scale architecture patterns']","['3+ years of industry experience in applied Machine Learning', 'Strong understanding of Machine Learning best practices', 'Experience in building and deploying ML models at scale', 'Flexibility across time zones and locations']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-russell-tobin-4180677148,LinkedIn
Decision Scientist,Simbe,Simbe,"['Experience working with retail data or sales analytics', 'Familiarity with cloud data platforms (AWS, GCP, or Azure)', 'Understanding of A/B testing, predictive modeling, or machine learning techniques']","[""Bachelor's degree in Data Science, Analytics, Computer Science, Statistics, Mathematics, Economics, Business, or a related field"", '5+ years of experience in decision science, analytics, business intelligence, or a related field', 'Proven track record of bridging analytics with commercial objectives, particularly within Sales or Client Analytics teams', 'Adept at synthesizing complex data into actionable business recommendations', 'Strong SQL skills and experience working with relational databases', 'Hands-on experience with data visualization tools such as Tableau, Looker, Power BI, or similar', 'Experience with Python or R for data analysis is a plus', 'Ability to work in a fast-paced, dynamic environment and manage multiple priorities', 'Exceptional communication skills with a track record of presenting data-driven insights to stakeholders of all seniority levels']",https://www.linkedin.com/jobs/view/decision-scientist-client-analytics-at-simbe-4190647234,LinkedIn
Data Scientist / ML Engineer,"Paradyme, a CATHEXIS Company","Tysons Corner, VA","['Experience with scalable ML (MapReduce, Spark)', 'Experience in Generative AI, e.g., Large Language Models (LLMs), embedding models, prompt engineering, and fine-tuning', 'Experience with reinforcement learning', 'A portfolio of projects (GitHub, papers, etc.)']","[""Masters degree in Computer Science, Electrical Engineering, Statistics, or equivalent fields or Bachelor's degree in Computer Science, Electrical Engineering, Statistics, or equivalent fields with one year of relevant work experience"", 'Applied Machine Learning experience (regression and classification, supervised, self-supervised, and unsupervised learning)', 'Strong mathematical background (linear algebra, calculus, probability, and statistics)', 'Proficiency in Python and objected-oriented programming, e.g. JavaScript', 'Familiarity with key Python packages for data wrangling, machine learning, and deep learning such as pandas, sklearn, tensorflow, torch, langchain, etc.', 'Ability to drive a project and work both independently and in a cross-functional team', 'Smart, motivated, can-do attitude, and seeks to make a difference in a fast-paced environment', 'Excellent verbal and written communication']",https://www.linkedin.com/jobs/view/data-scientist-ml-engineer-at-paradyme-a-cathexis-company-4073657779,LinkedIn
"Data Scientist, Decisions",Lyft,San Francisco,"['Advanced degree in a quantitative field (e.g., statistics, economics, applied math, operations research, engineering)', 'Proficiency in SQL for querying large datasets', 'Strong programming skills, particularly in Python or R, with experience in data analysis and visualization libraries', 'Strong written and verbal communication skills', 'Ability to independently manage project roadmaps, identify risks, and execute high-quality analytical solutions', 'Proactive approach to cross-functional teamwork, resolving conflicts, and fostering a psychologically safe and growth-oriented work environment']","['Degree in a quantitative field (e.g., statistics, economics, applied math, operations research, engineering)', '5+ years in data science or analytics roles', 'Proficiency in SQL for querying large datasets', 'Strong programming skills, particularly in Python or R, with experience in data analysis and visualization libraries', 'Strong written and verbal communication skills', 'Ability to independently manage project roadmaps, identify risks, and execute high-quality analytical solutions', 'Proactive approach to cross-functional teamwork, resolving conflicts, and fostering a psychologically safe and growth-oriented work environment']",https://www.linkedin.com/jobs/view/data-scientist-decisions-customer-care-tech-at-lyft-4151689613,LinkedIn
Data Scientist,Google,"San Francisco, CA, USA; Sunnyvale, CA, USA","['5 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree', '3 years of experience developing and deploying machine learning and AI models in production settings', 'Experience applying a variety of unsupervised, semi-supervised, and supervised machine learning techniques, and the ability to turn big data into actionable intelligence']","[""Master's degree in Statistics, Data Science, Mathematics, Physics, Economics, Operations Research, Engineering, or a related quantitative field"", '3 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree', 'Experience developing in Python']",https://www.linkedin.com/jobs/view/data-scientist-research-cloud-security-at-google-4186406954,LinkedIn
Research Scientist - Mathematical Modeling,Lyft,San Francisco,"['M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative fields', '3+ years professional experience', 'Passion for solving unstructured and non-standard mathematical problems', 'End-to-end experience with data, including querying, aggregation, analysis, and visualization', 'Proficiency with Python, or another interpreted programming language like R or Matlab', 'Willingness to collaborate and communicate with others to solve a problem']","['M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative fields', '3+ years professional experience']",https://www.linkedin.com/jobs/view/data-scientist-algorithms-primetime-pricing-at-lyft-4105035525,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '4+ years of work experience in analytics, data querying languages such as SQL, scripting languages such as Python, and/or statistical mathematical software such as R (minimum of 2 years with a Ph.D.)', '4+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4133149645,LinkedIn
Machine Learning Engineer,TurbineOne,Geographically flexible for home-office,"['7+ years of full stack work experience', 'College degree/certifications in Computer Science or similar field', 'Knowledge of deep learning algorithm development and experience with ML experimentation', 'Experience with TensorFlow, PyTorch, and Jax']","['High standard of ethics, grit, integrity, and moral character', ""Ability and confidence to learn what's required to add functionality to the product"", 'Deep curiosity about customer problems and technical solutions', 'Positive and solution-oriented mindset', 'Experience in a production software development environment', 'Willingness to embrace the Startup Culture']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-turbineone-4119089828,LinkedIn
Research Scientist in Machine Learning and Natural Language Processing,Abridge,"San Francisco, New York, Pittsburgh","['High-impact publications at peer-reviewed AI conferences (e.g. *CL, NeurIPS, ICML, ICLR)', 'Significant real-world impact, as demonstrated through open source contributions and deployed technology']","['Strong research background, as demonstrated through papers and a graduate degree (MS or PhD) in Electrical Engineering, Computer Sciences, Mathematics, or equivalent experience', 'Strong programming skills with proven experience crafting, prototyping, and delivering machine learning solutions into production', 'Experience with deep learning libraries (e.g. PyTorch, Jax, Tensorflow) and platforms, multi-GPU training, and statistical analyses of observational and experimental data']",https://www.linkedin.com/jobs/view/machine-learning-scientist-nlp-all-levels-at-abridge-4179501766,LinkedIn
"Data Scientist, Senior—Enterprise DS & AI Org",Enexus Global Inc.,"Oakland, CA","['Experience building computer vision models', 'Experience with AWS technologies (S3, GroundTruth, Sagemaker)']","['Bachelor’s degree in Data Science, Machine Learning, Computer Science, Physics, Econometrics or Economics, Engineering, Mathematics, Applied Sciences, Statistics, or equivalent field', '4 years in data science (or 2 years with a master’s degree)']",https://www.linkedin.com/jobs/view/senior-data-scientist-ds-ai-org-at-enexus-global-inc-4162655708,LinkedIn
Data Scientist - Connected TV (CTV),Google,United States,"[""Master's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field."", '5 years of work experience with analysis applications (e.g., extracting insights, performing statistical analysis, or solving business problems), and coding (e.g., Python, R, SQL).']","[""Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field."", ""5 years of work experience with analysis applications (extracting insights, performing statistical analysis, or solving business problems), and coding (Python, R, SQL) (or 2 years work experience plus a Master's degree)."", '2 years of experience working with Marketing Mix Models.', 'Experience with matched market testing, A/B Testing, Geo Experiments, user-ablation studies, basic statistics, and regression analysis.']",https://www.linkedin.com/jobs/view/data-scientist-connected-tv-roi-measurement-at-google-4183430673,LinkedIn
Data Scientist,Slope,YC startup (specific location not provided),"['Master’s or Ph.D. in Quantitative Finance, Statistics, Computer Science, Mathematics, Economics, or related field', 'Experienced with machine learning concept and risk modeling techniques such as regression, decision trees and boosting; experience with building data products using LLM is strongly preferred']","['5+ years experience in advanced statistical modeling with strong technical skills, preferably in both model development and deployment', 'Strong skill set with Python (including sklearn, pandas, numpy, etc.) and SQL', 'Experience with consumer / small business lending and payments risk management (credit and/or fraud); knowledge of using alternative data sources for underwriting, such as e-commerce and accounting data, is strongly preferred']",https://www.linkedin.com/jobs/view/data-scientist-at-slope-4176192563,LinkedIn
Machine Learning Engineers (Open-Endedness),Flagship Pioneering,Lila Sciences,"['Designing data pipelines for machine learning on multi-node GPU clusters', 'Training large language models including domain adaptation and retrieval-augmented generation (RAG) as part of an agentic framework', 'Implementing robust evaluation frameworks, including custom benchmarks, to rigorously test model performance and reliability', 'Integrating ML solutions into production environments']","['Master’s or PhD degree in a quantitative field (e.g., Computer Science, Machine Learning, Statistics, Physics, Mathematics) or equivalent industry experience', 'Strong background in deep learning frameworks (e.g., PyTorch, TensorFlow, JAX)', 'Experience with distributed computing platforms (AWS, GCP, Azure, or on-prem clusters)', 'Git/GitHub Experience', 'CI/CD Platform Experience (Jenkins, GitHub Actions, Azure DevOps, etc.)']",https://www.linkedin.com/jobs/view/machine-learning-engineers-open-endedness-open-level-at-flagship-pioneering-4172904995,LinkedIn
Machine Learning Engineer,Attain,Not specified,['Experience with cloud computing services or platform (GCP preferred)'],"['4+ years of hands-on experience building and deploying machine learning models', 'Strong expertise in developing and deploying offline and online machine learning services in production', 'Solid understanding of machine learning software and infrastructure development', 'Proficiency in Python', 'Strong SQL skills', 'Familiarity with version control and peer code review systems', 'Demonstrated ability to learn and embrace new technologies, applications, and approaches', 'Willingness to roll up your sleeves and sometimes wear multiple hats across the data science team, depending on the needs of the business', 'Strong written and verbal communication skills and the ability to explain technical topics to both technical and non-technical audiences']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-attain-4181413660,LinkedIn
ML Engineer,Hedra,NYC or SF,"['Experience with cloud computing platforms such as Amazon Web Services, Google Cloud, or Microsoft Azure', 'Knowledge of containerization tools like Dockerfile and orchestration tools like Kubeflow', 'Understanding of distributed training techniques and how to scale models across multiple GPUs or machines', 'Proficiency in scripting languages like Python or Bash for automation tasks']","['Bachelor’s degree in Computer Science, Information Technology, or a related field', 'Experience with cloud computing platforms such as Amazon Web Services, Google Cloud, or Microsoft Azure', 'Knowledge of containerization tools like Dockerfile and orchestration tools like Kubeflow', 'Understanding of distributed training techniques and how to scale models across multiple GPUs or machines', 'Proficiency in scripting languages like Python or Bash for automation tasks', 'Strong problem-solving and communication skills']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-hedra-4183844909,LinkedIn
ML Engineer - Neuroscience,Eon Systems PBC,Eon,"['Experience with image and video transformer models', 'Expertise in training multimodal models and experimenting with novel architectures', 'Experience with applying machine learning techniques to neuroscientific datasets', 'Previous work on scaling laws for modalities']","['Demonstrated exceptional ability (3-5+ years) in ML engineering, particularly with PyTorch, including hands-on experience with training and fine-tuning transformer-based machine learning models', 'Demonstrated capability in developing production-level machine learning systems']",https://www.linkedin.com/jobs/view/research-engineer-machine-learning-ml-at-eon-systems-pbc-4184624541,LinkedIn
Data Scientist,Tubi,"California, New York City, Westchester County, NY, and Seattle, WA","['Expertise in A/B testing, experimental design, and causal inference in a technology-driven environment', 'Experience with product analytics and working with event-level data', 'Video streaming industry experience is a plus']","['5+ years of work experience in analytics and SQL, Python, Spark, or R', 'Strong analytical skills with the ability to extract insights from large datasets using statistical methods', 'Excellent communication and presentation skills, with the ability to convey complex findings to non-technical stakeholders']",https://www.linkedin.com/jobs/view/data-scientist-at-tubi-4157964393,LinkedIn
Data Analyst,Slope,YC startup,"['Experience with consumer / small business lending and B2B payments', 'Strong skill set with Python, SQL, Excel, and data visualization', 'Web scrapping and hacker mindset', 'Experience with building statistical models']","['2+ years experience in data analytics or data science', 'Bachelor’s in Quantitative Finance, Statistics, Economics, Mathematics or related fields', 'Excellent written and verbal communication skills', 'Attention to detail, strong work ethic, and a relentless drive', 'Comfortable with handling ambiguity and creating processes from scratch', 'Self-directed and able to work with minimal supervision']",https://www.linkedin.com/jobs/view/data-scientist-growth-at-slope-4105129647,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '4+ years of work experience in analytics, data querying languages such as SQL, scripting languages such as Python, and/or statistical mathematical software such as R (minimum of 2 years with a Ph.D.)', '4+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120824512,LinkedIn
ML Solutions Engineer,SuperAnnotate,Partial remote working,"[""Master's degree in Computer Science, Machine Learning, Data Science, or other technically related fields"", '1+ years of experience as a technical solutions or sales engineer in a tech environment or a customer-facing role within a Professional Services/Systems Engineering team', 'Experience building Machine learning solutions (e.g., data pipelines, AI systems, LLMs, MLOps, etc.)']","['1+ years of customer-facing experience', 'Familiarity with Machine learning and Python', 'Experience delivering technical pitches', ""Bachelor's degree in Computer Science, Mathematics, Machine Learning, Data Science, or equivalent experience"", 'Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Artificial Intelligence technology space', 'Outstanding English writing and verbal skills', 'Good communication skills and Good presentation skills']",https://www.linkedin.com/jobs/view/ml-solutions-engineer-at-superannotate-4172502560,LinkedIn
Data Scientist - Financial Forecasting,Brex,San Francisco,"['Experience building and maintaining financial forecasting models with a high degree of accuracy', 'Experience working in businesses with blended revenue models that include both recurring and consumption-based components']","[""Master's degree or Ph.D. in Finance, Statistics, Economics or a related quantitative field"", '5+ years of experience in a data science or related role supporting finance teams', 'Expertise in predictive modeling, causal inference, and time series forecasting', 'Knowledge of structural finance models, financial planning and analysis (FP&A) workflows and reporting, plus experience working with key performance indicators like LTV, CAC, and ARR', 'Proficiency in SQL and Python (or R) for data analysis and modeling', 'Ability to translate complex analyses into strategic recommendations for Finance and business leadership', 'Familiarity with BI tools (e.g., Tableau, Looker) and financial data sources', 'Excellent problem-solving skills and the ability to work independently in a fast-paced environment', 'Strong communication skills, with the ability to work cross-functionally']",https://www.linkedin.com/jobs/view/senior-data-scientist-finance-at-brex-4172594770,LinkedIn
Analytics Research Lead,Mixpanel,"Mixpanel, US","['Masters degree or greater in a quantitative field', 'Advanced SQL skills', 'Scripting ability in Python, R, or similar language', 'Familiarity with cloud-based data warehouses, dbt, and collaborative data science notebooks', 'Hands-on experience building and deploying statistical and/or machine learning models']","['Experience driving positive change with recommendations rooted in data analysis and quantitative research', 'Ability to work with structured and unstructured data', 'Experience collaborating effectively with teams and leaders in different parts of a business', 'Strong written and verbal communication skills']",https://www.linkedin.com/jobs/view/data-scientist-at-mixpanel-4181732222,LinkedIn
Robot Autonomy Pipeline Designer,Weave Robotics,Weave,"['Experience in vision language models', 'Experience in reinforcement learning and robotics', 'Strong research fundamentals', 'Proficiency in Python and deep learning frameworks', 'Research experience']","['Deep experience in vision language models, reinforcement learning, and robotics', 'Strong proficiency in Python and deep learning frameworks']",https://www.linkedin.com/jobs/view/ml-research-scientist-at-weave-robotics-4166873585,LinkedIn
